,LoanOriginalAmount,IncomeRange,IsBorrowerHomeOwner
131,10000,"$50,000-74,999",TRUE
132,12500,"$1-24,999",FALSE
133,8600,"$25,000-49,999",TRUE
134,5000,"$25,000-49,999",FALSE
135,6000,"$75,000-99,999",FALSE
136,4000,"$50,000-74,999",FALSE
137,3000,"$25,000-49,999",FALSE
138,4000,"$1-24,999",FALSE
139,3000,"$25,000-49,999",TRUE
140,2500,"$1-24,999",FALSE
141,5000,"$50,000-74,999",FALSE
142,9000,"$50,000-74,999",FALSE
143,2500,"$50,000-74,999",TRUE
144,20000,"$75,000-99,999",TRUE
145,3500,"$25,000-49,999",TRUE
146,22000,"$100,000+",TRUE
148,2200,"$50,000-74,999",FALSE
149,10000,"$100,000+",TRUE
150,3333,"$75,000-99,999",TRUE
151,6500,"$50,000-74,999",TRUE
152,7500,"$75,000-99,999",TRUE
153,10000,"$50,000-74,999",TRUE
154,15000,"$75,000-99,999",TRUE
155,15000,"$75,000-99,999",TRUE
156,15000,"$75,000-99,999",FALSE
157,5500,"$100,000+",TRUE
158,4000,"$25,000-49,999",TRUE
159,5500,"$75,000-99,999",FALSE
160,3000,"$25,000-49,999",FALSE
161,12475,"$100,000+",TRUE
162,4000,"$25,000-49,999",TRUE
164,12500,"$50,000-74,999",TRUE
165,2000,"$50,000-74,999",FALSE
166,9000,"$50,000-74,999",TRUE
167,3500,"$50,000-74,999",TRUE
168,15000,"$75,000-99,999",TRUE
169,4500,"$100,000+",FALSE
170,9310,"$75,000-99,999",TRUE
172,6500,"$50,000-74,999",TRUE
174,15000,"$25,000-49,999",TRUE
175,3600,"$75,000-99,999",FALSE
176,12000,"$50,000-74,999",TRUE
177,4000,"$75,000-99,999",FALSE
178,2900,"$75,000-99,999",TRUE
180,5500,"$50,000-74,999",TRUE
181,7500,"$25,000-49,999",FALSE
182,4000,"$25,000-49,999",TRUE
183,13500,"$50,000-74,999",TRUE
184,2000,"$50,000-74,999",TRUE
186,6000,"$25,000-49,999",TRUE
188,3500,"$50,000-74,999",TRUE
189,1000,"$1-24,999",FALSE
190,24800,"$100,000+",TRUE
191,15000,"$75,000-99,999",FALSE
193,15000,"$50,000-74,999",FALSE
195,3800,"$50,000-74,999",FALSE
196,15000,"$75,000-99,999",TRUE
197,25000,"$100,000+",TRUE
198,3000,"$25,000-49,999",FALSE
199,3000,"$100,000+",FALSE
200,13000,"$100,000+",TRUE
201,4000,"$50,000-74,999",FALSE
202,20000,"$100,000+",FALSE
203,10000,"$25,000-49,999",FALSE
204,20000,"$50,000-74,999",FALSE
205,10000,"$50,000-74,999",TRUE
206,10000,"$100,000+",TRUE
208,7000,"$25,000-49,999",FALSE
209,15000,"$100,000+",TRUE
210,4000,"$75,000-99,999",TRUE
211,8000,"$50,000-74,999",TRUE
212,15000,"$50,000-74,999",FALSE
213,4000,"$25,000-49,999",TRUE
214,1500,"$25,000-49,999",TRUE
215,10000,"$50,000-74,999",FALSE
217,4000,"$50,000-74,999",TRUE
219,10000,"$50,000-74,999",TRUE
220,5500,"$100,000+",FALSE
221,4000,"$25,000-49,999",FALSE
222,15000,"$50,000-74,999",FALSE
223,25000,"$100,000+",TRUE
224,7000,"$25,000-49,999",FALSE
225,30000,"$100,000+",TRUE
226,5000,"$100,000+",TRUE
228,15000,"$100,000+",FALSE
229,9000,"$25,000-49,999",FALSE
230,4000,"$1-24,999",FALSE
231,8000,"$25,000-49,999",TRUE
232,12000,"$100,000+",TRUE
233,4000,"$25,000-49,999",TRUE
234,3500,"$25,000-49,999",FALSE
235,30000,"$100,000+",TRUE
236,15000,"$75,000-99,999",TRUE
237,9000,"$25,000-49,999",TRUE
238,4000,"$25,000-49,999",FALSE
239,15000,"$50,000-74,999",TRUE
240,2000,"$50,000-74,999",TRUE
241,2000,"$25,000-49,999",TRUE
242,1100,"$25,000-49,999",FALSE
243,7500,"$50,000-74,999",TRUE
244,20000,"$50,000-74,999",FALSE
245,4000,"$50,000-74,999",FALSE
246,10000,"$100,000+",FALSE
247,15000,"$100,000+",TRUE
249,1500,"$50,000-74,999",FALSE
254,5000,"$25,000-49,999",FALSE
255,4000,"$25,000-49,999",FALSE
256,3000,"$25,000-49,999",FALSE
257,3000,"$75,000-99,999",FALSE
258,11000,"$100,000+",FALSE
259,7000,"$1-24,999",FALSE
260,1000,"$1-24,999",FALSE
261,6000,"$25,000-49,999",FALSE
262,6000,"$50,000-74,999",TRUE
263,2500,"$25,000-49,999",TRUE
264,7000,"$25,000-49,999",FALSE
265,2000,"$25,000-49,999",FALSE
266,4000,"$25,000-49,999",FALSE
267,4000,"$25,000-49,999",TRUE
268,7500,"$50,000-74,999",TRUE
269,2000,"$1-24,999",FALSE
270,2500,"$25,000-49,999",FALSE
271,15000,"$50,000-74,999",FALSE
272,4000,"$50,000-74,999",TRUE
273,7500,"$1-24,999",FALSE
274,4600,"$25,000-49,999",FALSE
275,9000,"$75,000-99,999",FALSE
277,7500,"$75,000-99,999",TRUE
278,20000,"$75,000-99,999",FALSE
279,20000,"$75,000-99,999",FALSE
280,3000,"$50,000-74,999",FALSE
281,4000,"$75,000-99,999",TRUE
282,7000,"$50,000-74,999",TRUE
283,20000,"$50,000-74,999",TRUE
284,4500,"$25,000-49,999",FALSE
285,7000,"$50,000-74,999",FALSE
286,5000,"$50,000-74,999",TRUE
287,5000,"$25,000-49,999",FALSE
288,10000,"$100,000+",FALSE
289,10000,"$100,000+",TRUE
290,4000,"$50,000-74,999",FALSE
291,15000,"$50,000-74,999",TRUE
292,15000,"$100,000+",TRUE
293,4000,"$50,000-74,999",FALSE
294,17000,"$1-24,999",TRUE
295,20000,"$100,000+",TRUE
296,8000,"$25,000-49,999",FALSE
297,2000,"$25,000-49,999",FALSE
298,5025,"$1-24,999",FALSE
300,10000,"$50,000-74,999",TRUE
301,4200,"$75,000-99,999",TRUE
302,4000,"$75,000-99,999",FALSE
303,2500,"$50,000-74,999",FALSE
304,4000,"$25,000-49,999",FALSE
305,2000,"$50,000-74,999",FALSE
306,1500,"$25,000-49,999",TRUE
307,4000,"$1-24,999",TRUE
308,15000,"$100,000+",TRUE
309,5500,"$25,000-49,999",FALSE
310,15000,"$50,000-74,999",TRUE
312,13000,"$75,000-99,999",FALSE
313,4000,"$25,000-49,999",FALSE
314,15000,"$100,000+",TRUE
315,25000,"$100,000+",TRUE
316,3000,"$25,000-49,999",FALSE
317,4000,"$50,000-74,999",TRUE
318,15000,"$50,000-74,999",FALSE
319,10000,"$25,000-49,999",FALSE
320,7500,"$100,000+",TRUE
321,7300,"$25,000-49,999",TRUE
322,10000,"$75,000-99,999",FALSE
323,16500,"$100,000+",FALSE
324,7500,"$100,000+",TRUE
325,3600,"$1-24,999",FALSE
327,4000,"$1-24,999",FALSE
328,11000,"$75,000-99,999",FALSE
329,4000,"$50,000-74,999",TRUE
330,4000,"$1-24,999",FALSE
331,4000,"$25,000-49,999",TRUE
332,2500,"$1-24,999",FALSE
334,8000,"$50,000-74,999",TRUE
335,12000,"$100,000+",TRUE
338,2000,"$25,000-49,999",TRUE
339,10000,"$25,000-49,999",FALSE
340,5000,"$25,000-49,999",FALSE
341,7000,"$50,000-74,999",FALSE
342,2000,"$25,000-49,999",TRUE
343,2000,"$25,000-49,999",TRUE
344,10000,"$75,000-99,999",TRUE
345,5000,"$25,000-49,999",TRUE
346,5500,"$50,000-74,999",TRUE
347,2000,"$50,000-74,999",TRUE
348,15000,"$50,000-74,999",TRUE
349,8500,"$25,000-49,999",FALSE
350,4000,"$1-24,999",FALSE
351,3500,"$25,000-49,999",FALSE
352,15000,"$100,000+",TRUE
353,15000,"$100,000+",TRUE
354,2000,"$100,000+",TRUE
355,2500,"$50,000-74,999",FALSE
356,10000,"$50,000-74,999",TRUE
358,20000,"$50,000-74,999",FALSE
359,4500,"$50,000-74,999",FALSE
360,10000,"$25,000-49,999",FALSE
361,3000,"$50,000-74,999",TRUE
362,4500,"$25,000-49,999",FALSE
363,10000,"$25,000-49,999",TRUE
364,4000,"$25,000-49,999",FALSE
365,4000,"$50,000-74,999",FALSE
366,9000,"$75,000-99,999",TRUE
368,1545,"$1-24,999",FALSE
369,16000,"$1-24,999",FALSE
370,1000,"$1-24,999",FALSE
372,4000,"$50,000-74,999",TRUE
373,3800,"$25,000-49,999",TRUE
374,3000,"$50,000-74,999",FALSE
375,25000,"$100,000+",FALSE
377,10000,"$25,000-49,999",FALSE
378,19000,"$100,000+",TRUE
379,4000,"$25,000-49,999",FALSE
380,4000,"$25,000-49,999",FALSE
381,10000,"$75,000-99,999",TRUE
382,7500,"$75,000-99,999",FALSE
383,7000,"$25,000-49,999",TRUE
384,4800,"$50,000-74,999",TRUE
385,5000,"$25,000-49,999",TRUE
386,4000,"$75,000-99,999",FALSE
389,9000,"$25,000-49,999",FALSE
390,7000,"$25,000-49,999",FALSE
391,7000,"$100,000+",TRUE
392,3000,"$25,000-49,999",TRUE
393,10000,"$25,000-49,999",FALSE
394,4700,"$100,000+",TRUE
395,15000,"$50,000-74,999",FALSE
396,5000,"$50,000-74,999",TRUE
397,11000,"$25,000-49,999",TRUE
398,4000,"$50,000-74,999",FALSE
399,15000,"$75,000-99,999",TRUE
400,1500,"$25,000-49,999",FALSE
401,15000,"$100,000+",FALSE
403,15500,"$50,000-74,999",TRUE
404,3000,"$75,000-99,999",FALSE
406,8000,"$25,000-49,999",TRUE
407,8000,"$75,000-99,999",TRUE
408,4000,"$75,000-99,999",TRUE
409,6950,"$100,000+",FALSE
410,15000,"$75,000-99,999",TRUE
411,7000,"$1-24,999",FALSE
412,20000,"$100,000+",TRUE
413,16000,"$100,000+",FALSE
414,10000,"$25,000-49,999",TRUE
415,10000,"$50,000-74,999",TRUE
416,7500,"$50,000-74,999",FALSE
417,4000,"$50,000-74,999",FALSE
418,2000,"$25,000-49,999",FALSE
419,7000,"$75,000-99,999",FALSE
420,4000,"$1-24,999",FALSE
421,9000,"$100,000+",TRUE
422,1000,"$50,000-74,999",FALSE
423,10000,"$75,000-99,999",TRUE
424,25000,"$100,000+",TRUE
425,15000,"$25,000-49,999",FALSE
426,2500,"$25,000-49,999",FALSE
427,3500,"$75,000-99,999",TRUE
428,2100,"$1-24,999",FALSE
429,7500,"$100,000+",TRUE
430,18000,"$100,000+",TRUE
431,10000,"$25,000-49,999",FALSE
432,3000,"$50,000-74,999",FALSE
433,1000,"$50,000-74,999",FALSE
434,25000,"$100,000+",TRUE
435,3500,"$100,000+",TRUE
436,11890,"$25,000-49,999",TRUE
437,7500,"$25,000-49,999",TRUE
438,3000,"$75,000-99,999",FALSE
439,4000,"$75,000-99,999",FALSE
440,7000,"$50,000-74,999",TRUE
441,8000,"$100,000+",FALSE
442,7500,"$25,000-49,999",TRUE
443,5000,"$100,000+",TRUE
444,3750,"$25,000-49,999",FALSE
445,25000,"$100,000+",TRUE
446,20000,"$100,000+",TRUE
447,15000,"$50,000-74,999",TRUE
448,5000,"$25,000-49,999",FALSE
450,4000,"$50,000-74,999",TRUE
451,5500,"$50,000-74,999",TRUE
452,7000,"$25,000-49,999",FALSE
453,12000,"$75,000-99,999",TRUE
454,10000,"$50,000-74,999",TRUE
455,4500,"$75,000-99,999",TRUE
456,4000,"$25,000-49,999",FALSE
457,20000,"$50,000-74,999",FALSE
458,9000,"$50,000-74,999",TRUE
459,7000,"$50,000-74,999",TRUE
460,13500,"$25,000-49,999",FALSE
461,10000,"$75,000-99,999",TRUE
462,15000,"$25,000-49,999",FALSE
463,16000,"$50,000-74,999",TRUE
464,10000,"$100,000+",TRUE
465,1500,"$1-24,999",FALSE
466,10000,"$25,000-49,999",TRUE
467,2500,"$25,000-49,999",TRUE
468,3600,"$25,000-49,999",FALSE
469,4800,"$100,000+",FALSE
471,10000,"$1-24,999",FALSE
472,15000,"$50,000-74,999",FALSE
473,4000,"$25,000-49,999",FALSE
474,4000,"$1-24,999",TRUE
475,6000,"$100,000+",TRUE
476,2500,"$25,000-49,999",TRUE
477,15000,"$100,000+",FALSE
478,7500,"$50,000-74,999",FALSE
479,20000,"$75,000-99,999",FALSE
480,18000,"$100,000+",TRUE
481,6000,"$1-24,999",FALSE
482,20000,"$50,000-74,999",TRUE
483,1000,"$25,000-49,999",FALSE
484,21000,"$100,000+",TRUE
485,15000,"$75,000-99,999",TRUE
486,15000,"$75,000-99,999",TRUE
487,14584,"$75,000-99,999",TRUE
488,5000,"$75,000-99,999",FALSE
489,2500,"$25,000-49,999",FALSE
490,5000,"$50,000-74,999",TRUE
491,7000,"$25,000-49,999",FALSE
492,25000,"$75,000-99,999",TRUE
493,4000,"$100,000+",TRUE
494,4000,"$25,000-49,999",FALSE
496,5000,"$25,000-49,999",TRUE
497,3000,"$100,000+",TRUE
498,5000,"$50,000-74,999",TRUE
501,2700,"$50,000-74,999",TRUE
502,1000,"$25,000-49,999",FALSE
503,19000,"$100,000+",FALSE
504,10000,"$50,000-74,999",FALSE
505,13000,"$75,000-99,999",FALSE
506,8000,"$25,000-49,999",TRUE
507,4000,"$50,000-74,999",TRUE
508,12000,"$100,000+",TRUE
509,4500,"$25,000-49,999",FALSE
510,13000,"$50,000-74,999",TRUE
511,6500,"$25,000-49,999",TRUE
512,2500,"$50,000-74,999",FALSE
513,15000,"$100,000+",TRUE
514,8000,"$100,000+",TRUE
515,5000,"$50,000-74,999",FALSE
516,5000,"$75,000-99,999",FALSE
517,4000,"$50,000-74,999",TRUE
518,4200,"$50,000-74,999",FALSE
519,2000,"$1-24,999",FALSE
521,10000,"$75,000-99,999",FALSE
522,5000,"$100,000+",TRUE
523,5000,"$50,000-74,999",TRUE
524,3000,"$25,000-49,999",FALSE
525,15000,"$25,000-49,999",FALSE
526,10000,"$75,000-99,999",TRUE
527,5000,"$1-24,999",FALSE
528,1500,"$50,000-74,999",TRUE
529,10000,"$25,000-49,999",TRUE
530,8500,"$25,000-49,999",FALSE
531,2000,"$1-24,999",FALSE
532,2000,"$50,000-74,999",TRUE
533,10000,"$100,000+",TRUE
534,5000,"$100,000+",TRUE
535,3500,"$75,000-99,999",TRUE
537,3500,"$25,000-49,999",TRUE
538,6290,"$25,000-49,999",FALSE
539,2500,"$50,000-74,999",TRUE
540,5000,"$50,000-74,999",TRUE
541,15000,"$100,000+",FALSE
542,7200,"$50,000-74,999",TRUE
543,15000,"$50,000-74,999",FALSE
544,3000,"$50,000-74,999",FALSE
545,4000,"$25,000-49,999",TRUE
546,21500,"$25,000-49,999",TRUE
548,13000,"$75,000-99,999",FALSE
549,4000,"$50,000-74,999",TRUE
550,3000,"$25,000-49,999",FALSE
551,18000,"$50,000-74,999",FALSE
552,4000,"$25,000-49,999",FALSE
553,15000,"$100,000+",TRUE
554,10000,"$50,000-74,999",FALSE
555,20000,"$100,000+",TRUE
556,2800,"$50,000-74,999",TRUE
557,10000,"$25,000-49,999",FALSE
558,12000,"$75,000-99,999",TRUE
559,7500,"$25,000-49,999",FALSE
560,4000,"$1-24,999",FALSE
561,10000,"$50,000-74,999",FALSE
562,3200,"$50,000-74,999",TRUE
563,14400,"$100,000+",FALSE
564,7500,"$75,000-99,999",TRUE
565,4000,"$25,000-49,999",TRUE
566,10000,"$75,000-99,999",FALSE
567,5000,"$100,000+",FALSE
568,2100,"$25,000-49,999",TRUE
569,4000,"$25,000-49,999",FALSE
570,7000,"$75,000-99,999",FALSE
571,4000,"$50,000-74,999",FALSE
572,7500,"$50,000-74,999",TRUE
573,7500,"$50,000-74,999",FALSE
574,6200,"$50,000-74,999",FALSE
576,2100,"$25,000-49,999",FALSE
577,1500,"$1-24,999",FALSE
578,9000,"$100,000+",TRUE
579,2000,"$75,000-99,999",FALSE
580,4000,"$50,000-74,999",TRUE
581,3000,"$1-24,999",FALSE
582,4000,"$1-24,999",FALSE
583,2551,"$25,000-49,999",TRUE
584,8000,"$50,000-74,999",TRUE
585,4000,"$50,000-74,999",FALSE
587,4000,"$75,000-99,999",FALSE
588,10850,"$50,000-74,999",FALSE
589,25000,"$50,000-74,999",TRUE
590,2550,"$25,000-49,999",FALSE
592,13000,"$75,000-99,999",TRUE
593,20000,"$100,000+",TRUE
594,15000,"$100,000+",TRUE
595,10000,"$75,000-99,999",TRUE
596,10000,"$25,000-49,999",TRUE
597,15000,"$50,000-74,999",TRUE
598,23500,"$50,000-74,999",TRUE
599,7000,"$50,000-74,999",TRUE
600,23547,"$75,000-99,999",FALSE
601,3500,"$75,000-99,999",TRUE
602,4000,"$75,000-99,999",FALSE
603,6000,"$75,000-99,999",TRUE
604,4000,"$25,000-49,999",FALSE
605,15000,"$50,000-74,999",TRUE
606,6001,"$50,000-74,999",FALSE
607,5000,"$75,000-99,999",FALSE
608,4000,"$50,000-74,999",TRUE
609,2500,"$100,000+",TRUE
610,15000,"$75,000-99,999",FALSE
611,15000,"$50,000-74,999",FALSE
612,25000,"$100,000+",TRUE
613,4000,"$50,000-74,999",FALSE
614,20500,"$100,000+",FALSE
615,15000,"$50,000-74,999",FALSE
616,3000,"$1-24,999",FALSE
617,14000,"$100,000+",TRUE
618,3500,"$25,000-49,999",FALSE
619,7000,"$25,000-49,999",FALSE
620,3000,"$50,000-74,999",FALSE
621,4000,"$25,000-49,999",FALSE
622,15000,"$100,000+",TRUE
623,20000,"$100,000+",TRUE
624,5000,"$25,000-49,999",TRUE
625,7500,"$25,000-49,999",FALSE
627,2000,"$1-24,999",FALSE
628,2500,"$1-24,999",FALSE
629,2500,"$25,000-49,999",FALSE
630,15000,"$50,000-74,999",FALSE
631,10000,"$25,000-49,999",TRUE
632,1500,"$25,000-49,999",FALSE
633,10000,"$25,000-49,999",FALSE
634,30000,"$100,000+",TRUE
635,4000,"$25,000-49,999",FALSE
636,20000,"$100,000+",TRUE
637,10000,"$50,000-74,999",TRUE
638,35000,"$100,000+",TRUE
639,15000,"$100,000+",TRUE
640,4000,"$25,000-49,999",TRUE
641,10000,"$100,000+",TRUE
642,15000,"$50,000-74,999",TRUE
643,11000,"$75,000-99,999",TRUE
644,15000,"$75,000-99,999",TRUE
645,1000,"$1-24,999",FALSE
646,15000,"$100,000+",TRUE
647,15000,"$100,000+",FALSE
648,10000,"$50,000-74,999",TRUE
649,6500,"$100,000+",TRUE
650,30000,"$100,000+",TRUE
651,3400,"$50,000-74,999",FALSE
652,15000,"$75,000-99,999",TRUE
653,20000,"$50,000-74,999",TRUE
654,15000,"$100,000+",TRUE
656,18500,"$25,000-49,999",FALSE
657,2500,"$50,000-74,999",TRUE
658,15000,"$50,000-74,999",TRUE
659,10000,"$100,000+",TRUE
660,9000,"$50,000-74,999",FALSE
661,15000,"$50,000-74,999",TRUE
662,6000,"$50,000-74,999",FALSE
663,21000,"$75,000-99,999",TRUE
665,4000,"$50,000-74,999",FALSE
666,15000,"$100,000+",FALSE
667,6000,"$25,000-49,999",TRUE
668,25000,"$100,000+",TRUE
669,4000,"$25,000-49,999",FALSE
670,4400,"$50,000-74,999",FALSE
671,7200,"$25,000-49,999",FALSE
672,20000,"$50,000-74,999",TRUE
673,4000,"$25,000-49,999",TRUE
674,22500,"$25,000-49,999",TRUE
675,10000,"$25,000-49,999",FALSE
676,7000,"$25,000-49,999",FALSE
677,15000,"$50,000-74,999",TRUE
678,25000,"$100,000+",TRUE
679,4000,"$75,000-99,999",FALSE
680,7500,"$25,000-49,999",FALSE
681,3500,"$1-24,999",FALSE
682,15000,"$100,000+",TRUE
683,7000,"$50,000-74,999",FALSE
684,16000,"$75,000-99,999",FALSE
685,3000,"$1-24,999",TRUE
686,10000,"$50,000-74,999",TRUE
687,2300,"$50,000-74,999",TRUE
688,35000,"$100,000+",TRUE
690,10000,"$100,000+",TRUE
691,15000,"$50,000-74,999",TRUE
692,8000,"$100,000+",FALSE
693,4000,"$25,000-49,999",FALSE
694,2600,"$25,000-49,999",TRUE
696,15000,"$75,000-99,999",TRUE
697,15000,"$50,000-74,999",FALSE
698,4000,"$25,000-49,999",FALSE
700,5000,"$75,000-99,999",FALSE
701,15000,"$75,000-99,999",TRUE
702,15000,"$50,000-74,999",TRUE
703,9500,"$100,000+",TRUE
704,1000,"$1-24,999",FALSE
705,4000,"$25,000-49,999",FALSE
706,5000,"$25,000-49,999",FALSE
708,15000,"$75,000-99,999",TRUE
709,10000,"$75,000-99,999",TRUE
710,4000,"$50,000-74,999",FALSE
711,15000,"$100,000+",TRUE
712,10000,"$75,000-99,999",FALSE
713,20000,"$75,000-99,999",FALSE
714,2550,"$1-24,999",FALSE
715,4000,"$50,000-74,999",TRUE
716,20000,"$50,000-74,999",TRUE
717,3500,"$75,000-99,999",TRUE
718,4000,"$75,000-99,999",TRUE
719,10000,"$25,000-49,999",FALSE
720,6001,"$25,000-49,999",FALSE
721,14000,"$100,000+",TRUE
723,4000,"$25,000-49,999",TRUE
724,4000,"$50,000-74,999",TRUE
725,4500,"$75,000-99,999",FALSE
726,2348,"$1-24,999",FALSE
727,6000,"$25,000-49,999",FALSE
728,2000,"$25,000-49,999",TRUE
729,1000,"$75,000-99,999",TRUE
730,17500,"$25,000-49,999",FALSE
732,10000,"$25,000-49,999",FALSE
733,4000,"$25,000-49,999",FALSE
734,20000,"$50,000-74,999",FALSE
735,4000,"$75,000-99,999",TRUE
736,10000,"$25,000-49,999",FALSE
737,4000,"$50,000-74,999",FALSE
738,9000,"$100,000+",FALSE
739,25000,"$75,000-99,999",TRUE
740,2000,"$25,000-49,999",FALSE
741,15000,"$50,000-74,999",FALSE
742,14000,"$50,000-74,999",FALSE
743,4000,"$25,000-49,999",FALSE
744,7400,"$50,000-74,999",FALSE
745,6000,"$25,000-49,999",FALSE
746,4000,"$50,000-74,999",TRUE
747,7000,"$50,000-74,999",TRUE
748,4000,"$25,000-49,999",FALSE
749,4000,"$50,000-74,999",TRUE
750,5000,"$100,000+",FALSE
751,10000,"$50,000-74,999",FALSE
752,6000,"$75,000-99,999",TRUE
753,3500,"$100,000+",FALSE
754,4000,"$25,000-49,999",TRUE
755,10000,"$25,000-49,999",TRUE
756,3500,"$50,000-74,999",FALSE
757,4950,"$25,000-49,999",FALSE
758,10170,"$100,000+",TRUE
760,11000,"$50,000-74,999",TRUE
761,1500,"$75,000-99,999",TRUE
762,11500,"$75,000-99,999",TRUE
763,3500,"$1-24,999",FALSE
764,15000,"$50,000-74,999",FALSE
765,3000,"$50,000-74,999",TRUE
766,15000,"$100,000+",TRUE
767,24000,"$75,000-99,999",TRUE
768,7000,"$25,000-49,999",TRUE
769,1500,"$50,000-74,999",TRUE
770,2500,"$100,000+",TRUE
771,15000,"$50,000-74,999",TRUE
772,19000,"$100,000+",TRUE
773,3500,$0,TRUE
774,6000,"$100,000+",TRUE
775,15500,"$75,000-99,999",TRUE
776,10000,"$75,000-99,999",TRUE
777,8500,"$50,000-74,999",TRUE
778,10000,"$25,000-49,999",FALSE
779,5000,"$25,000-49,999",FALSE
780,23000,"$75,000-99,999",TRUE
781,2500,"$25,000-49,999",FALSE
782,1800,"$25,000-49,999",FALSE
783,4500,"$25,000-49,999",FALSE
784,10000,"$25,000-49,999",FALSE
785,5000,"$50,000-74,999",TRUE
786,3000,"$25,000-49,999",FALSE
787,26000,"$100,000+",TRUE
788,10000,"$50,000-74,999",FALSE
789,10000,"$25,000-49,999",TRUE
